name,region,legal_dong,jibun,min_price_억,mid_price_억,average_price_억,max_price_억,area_label,updated_at,source_note,price_source,market_transaction_only,transaction_count,latest_deal_date,latest_deal_price_억,source_url
역삼동하나빌,강남구,,,7.0,7.2,7.4,8.0,전용 51~52㎡,2026-05-11,국토부 실거래 3건 · 직거래·취소 제외,molit_csv,true,3,2026-05-11,7.2,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
대우디오빌,강남구,,,6.3,7.57,7.26,7.85,전용 59~60㎡,2026-05-04,국토부 실거래 8건 · 직거래·취소 제외,molit_csv,true,8,2026-05-04,7.6,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
동아,강동구,,,5.5,5.82,5.97,6.9,전용 54~59㎡,2026-05-11,국토부 실거래 7건 · 직거래·취소 제외,molit_csv,true,7,2026-05-11,6.3,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
성내스테이,강동구,,,6.8,7.0,7.06,7.45,전용 53~53㎡,2026-07-04,국토부 실거래 4건 · 직거래·취소 제외,molit_csv,true,4,2026-07-04,7.45,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
강동역두산위브센티움,강동구,,,6.9,7.38,7.36,7.75,전용 60~60㎡,2026-06-04,국토부 실거래 10건 · 직거래·취소 제외,molit_csv,true,10,2026-06-04,7.75,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
중앙하이츠,강동구,,,6.85,8.0,8.8,12.0,전용 60~60㎡,2026-06-03,국토부 실거래 10건 · 직거래·취소 제외,molit_csv,true,10,2026-06-03,8.0,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
동아하이빌아파트,강동구,,,7.7,8.3,8.17,8.42,전용 60~60㎡,2026-05-20,국토부 실거래 5건 · 직거래·취소 제외,molit_csv,true,5,2026-05-20,8.15,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
라움포레,강동구,,,7.5,8.5,8.23,8.68,전용 58~59㎡,2026-05-20,국토부 실거래 3건 · 직거래·취소 제외,molit_csv,true,3,2026-05-20,7.5,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
현대,강동구,,,9.0,9.05,9.33,10.22,전용 54~59㎡,2026-06-02,국토부 실거래 4건 · 직거래·취소 제외,molit_csv,true,4,2026-06-02,9.0,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
강동리엔파크14단지,강동구,,,9.48,10.0,10.2,11.0,전용 60~60㎡,2026-04-10,국토부 실거래 8건 · 직거래·취소 제외,molit_csv,true,8,2026-04-10,10.5,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
천호동삼성아파트,강동구,,,9.7,10.3,10.13,10.4,전용 60~60㎡,2026-05-17,국토부 실거래 3건 · 직거래·취소 제외,molit_csv,true,3,2026-05-17,10.3,https://rt.molit.go.kr/pt/xls/xls.do?mobileAt=v
