code,name,line,hop_minutes,connect_to
X501,강일,5호선,2.2,553
X502,미사,5호선,2.2,X501
X503,하남풍산,5호선,2.2,X502
X504,하남시청,5호선,2.2,X503
X505,하남검단산,5호선,2.2,X504
X801,암사역사공원,8호선,2.2,810
X802,장자호수공원,8호선,2.2,X801
X803,구리,8호선,2.2,X802
X804,동구릉,8호선,2.2,X803
X805,다산,8호선,2.2,X804
X806,별내,8호선,2.2,X805
X807,남위례,8호선,2.2,820|821
X401,별내별가람,4호선,2.4,409
X402,오남,4호선,2.4,X401
X403,진접,4호선,2.4,X402
X701,자양,7호선,2.2,727|728
X845,부천종합운동장,서해선,2.6,841
X846,원종,서해선,2.6,X845
X847,김포공항,서해선,2.6,X846
X211,고색,수인분당선,2.6,K245
X212,오목천,수인분당선,2.6,X211
X213,어천,수인분당선,2.6,X212
X214,야목,수인분당선,2.6,X213
X215,사리,수인분당선,2.6,X214|449
X911,샛강,신림선,1.9,
X912,대방,신림선,1.9,X911
X913,서울지방병무청,신림선,1.9,X912
X914,보라매,신림선,1.9,X913
X915,보라매공원,신림선,1.9,X914
X916,보라매병원,신림선,1.9,X915
X917,당곡,신림선,1.9,X916
X918,신림,신림선,1.9,X917
X919,서원,신림선,1.9,X918
X920,서울대벤처타운,신림선,1.9,X919
X921,관악산,신림선,1.9,X920
X601,수서,GTX-A,5.0,349
X602,성남,GTX-A,5.0,X601
X603,용인,GTX-A,5.0,X602
X604,동탄,GTX-A,5.0,X603
X605,서울역,GTX-A,5.0,X601
X606,연신내,GTX-A,5.0,X605
X607,대곡,GTX-A,5.0,X606
X608,킨텍스,GTX-A,5.0,X607
X609,운정중앙,GTX-A,5.0,X608
X101,전곡,1호선,2.9,100
X102,연천,1호선,2.9,X101
X103,한국항공대,경의중앙선,2.9,K316|K317
X104,시우,서해선,2.6,846|847
X105,아라,인천1호선,2.2,I110
X106,신검단중앙,인천1호선,2.2,X105
X107,용인중앙시장,에버라인,1.8,Y117|Y118
