단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
41820120132740,4182025021102990003,경기도,가평군,,가평읍,읍내리 299-3,경기도 가평군 가평읍 읍내리 299-3,J정동아파트,J정동,J정동아파트,J정동아파트,1,아파트,1,17,2010-11-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120447452,4182025022106940000,경기도,가평군,,가평읍,대곡리 694,경기도 가평군 가평읍 대곡리 694,e편한세상 가평 퍼스트원,e편한세상가평퍼스트원,e편한세상 가평 퍼스트원,,1,아파트,4,472,2023-08-16,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120439000,4182025021104570005,경기도,가평군,,가평읍,읍내리 457-5,경기도 가평군 가평읍 읍내리 457-5,가평 센트럴파크 더 스카이,가평센트럴파크더스카이,가평 센트럴파크 더 스카이,,1,아파트,2,168,2022-08-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120429914,4182025021110530000,경기도,가평군,,가평읍,읍내리 1053,경기도 가평군 가평읍 읍내리 1053,가평 코아루,가평코아루,가평 코아루,,1,아파트,3,221,2021-11-09,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120399277,4182025021107660003,경기도,가평군,,가평읍,읍내리 766-3,경기도 가평군 가평읍 읍내리 766-3,가평블루핀,가평블루핀,가평블루핀,,1,아파트,2,119,2019-09-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120094506,4182025022104020001,경기도,가평군,,가평읍,대곡리 402-1,경기도 가평군 가평읍 대곡리 402-1,가평선힐아파트,썬힐,가평선힐아파트,가평선힐아파트,1,아파트,3,180,2008-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120073281,4182025021107710001,경기도,가평군,,가평읍,읍내리 771-1,경기도 가평군 가평읍 읍내리 771-1,가평에이원파란채아파트,에이원파란채,가평에이원파란채아파트,가평에이원파란채아파트,1,아파트,3,243,2007-11-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100255359,4182025021102700000,경기도,가평군,,가평읍,읍내리 270,경기도 가평군 가평읍 읍내리 270,가평읍내주공아파트,주공,가평읍내주공아파트,가평읍내주공아파트,1,아파트,5,355,1999-11-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120447509,4182025022106950000,경기도,가평군,,가평읍,대곡리 695,경기도 가평군 가평읍 대곡리 695,가평자이,가평자이,가평자이,,1,아파트,6,505,2023-08-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820120384602,4182025022102300018,경기도,가평군,,가평읍,대곡리 230-18,경기도 가평군 가평읍 대곡리 230-18,삼성웰타운아파트,삼성웰타운아파트,삼성웰타운아파트,삼성웰타운아파트,1,아파트,1,29,2019-03-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100255362,4182025022102960003,경기도,가평군,,가평읍,대곡리 296-3,경기도 가평군 가평읍 대곡리 296-3,삼익아파트,삼익,삼익아파트,삼익아파트,1,아파트,1,19,2002-08-05,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100008175,4182025023102810000,경기도,가평군,,가평읍,달전리 281,경기도 가평군 가평읍 달전리 281,세대넥스빌아파트,세대넥스빌,,세대넥스빌아파트,1,아파트,1,138,1996-02-29,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100255361,4182025021108370001,경기도,가평군,,가평읍,읍내리 837-1,경기도 가평군 가평읍 읍내리 837-1,송안아파트,송안,송안아파트,송안아파트,1,아파트,1,54,2009-10-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100008176,4182025023102850001,경기도,가평군,,가평읍,달전리 285-1,경기도 가평군 가평읍 달전리 285-1,신초아파트,신초,,신초아파트,1,아파트,2,89,1993-09-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
41820100008169,4182025021102920007,경기도,가평군,,가평읍,읍내리 292-7,경기도 가평군 가평읍 읍내리 292-7,에덴아파트,에덴,에덴아파트,에덴아파트,1,아파트,1,40,1991-08-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
