시도,자치구,시군구,법정동,지번,법정동코드,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,별칭,단지종류명,세대수,상태,입주예정월,최근분양권거래일,출처
서울특별시,강남구,,개포동,660-1,11680,,디에이치 퍼스티어 아이파크,디에이치 퍼스티어 아이파크,,,,아파트,,분양권,,2026-06-27,국토교통부 분양권/입주권 실거래
서울특별시,강남구,,대치동,964,11680,,디에이치 대치 에델루이,디에이치 대치 에델루이,,,,아파트,,분양권,,2025-07-14,국토교통부 분양권/입주권 실거래
서울특별시,강남구,,도곡동,540,11680,서울특별시 강남구 도곡동 540번지 일대(도곡삼호아파트 재건축정비사업조합),래미안 레벤투스,래미안 레벤투스,,,,아파트,,분양권,2026-10,2026-06-25,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,강남구,,삼성동,79,11680,,아크로삼성,아크로삼성,,,,아파트,,분양권,,2025-07-26,국토교통부 분양권/입주권 실거래
서울특별시,강남구,,청담동,134-18,11680,,청담 르엘,청담 르엘,,,,아파트,,분양권,,2026-05-18,국토교통부 분양권/입주권 실거래
서울특별시,강동구,,길동,336-1,11740,서울특별시 강동구 길동 336-1번지,디 아테온(THE ATHEON),디 아테온(THE ATHEON),,,,아파트,,입주예정,2026-07,,청약홈 APT 분양정보
서울특별시,강동구,,둔촌동,489,11740,서울특별시 강동구 둔촌동 489번지,올림픽파크 서한포레스트,올림픽파크 서한포레스트,,,,아파트,,분양권,2027-12,2026-02-26,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,강동구,,둔촌동,633,11740,,올림픽파크포레온,올림픽파크포레온,,,올파포|둔촌주공,아파트,12032,분양권,,2026-01-15,국토교통부 분양권/입주권 실거래|기존 보강
서울특별시,강동구,,상일동,43,11740,서울특별시 강동구 상일동 43번지 일원(서울고덕강일 공공주택지구 12블럭),고덕강일 대성베르힐,고덕강일 대성베르힐,,,,아파트,,입주예정,2027-10,,청약홈 APT 분양정보
서울특별시,강동구,,성내동,611,11740,,그란츠리버파크,그란츠리버파크,,,,아파트,,분양권,,2026-02-07,국토교통부 분양권/입주권 실거래
서울특별시,강동구,,성내동,459-3,11740,,에스아이팰리스올림픽공원아파트,에스아이팰리스올림픽공원아파트,,,,아파트,,분양권,,2025-09-28,국토교통부 분양권/입주권 실거래
서울특별시,강동구,,천호동,423-76,11740,,e편한세상 강동 프레스티지원,e편한세상 강동 프레스티지원,,,,아파트,,분양권,,2025-10-15,국토교통부 분양권/입주권 실거래
서울특별시,강동구,,천호동,410-100,11740,,더샵 강동센트럴시티,더샵 강동센트럴시티,,,,아파트,,분양권,,2026-05-04,국토교통부 분양권/입주권 실거래
서울특별시,강동구,,천호동,356,11740,,비오르(VIORR),비오르(VIORR),,,,아파트,,분양권,,2026-05-18,국토교통부 분양권/입주권 실거래
서울특별시,강북구,,미아동,791-364,11305,,북서울자이 폴라리스,북서울자이폴라리스,,,,아파트,1045,분양권,,2026-04-26,국토교통부 분양권/입주권 실거래|기존 보강
서울특별시,강북구,,미아동,232,11305,서울특별시 강북구 도봉로 232 (미아동),엘리프 미아역 1단지,엘리프 미아역 1단지,,,,아파트,,분양권,2026-08,2026-07-11,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,강북구,,미아동,222,11305,서울특별시 강북구 도봉로 222 (미아동),엘리프 미아역 2단지,엘리프 미아역 2단지,,,,아파트,,분양권,2026-08,2026-07-09,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,강북구,,미아동,705-1,11305,,한화 포레나 미아,한화 포레나 미아,,,,아파트,,분양권,,2026-06-11,국토교통부 분양권/입주권 실거래
서울특별시,강서구,,등촌동,366-24,11500,서울특별시 강서구 등촌동 366-24번지 일원,힐스테이트 등촌역,힐스테이트 등촌역,,,,아파트,,분양권,2026-10,2026-07-02,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,관악구,,봉천동,산101,11620,,힐스테이트 관악센트씨엘,힐스테이트 관악센트씨엘,,,,아파트,,분양권,,2026-05-28,국토교통부 분양권/입주권 실거래
서울특별시,관악구,,신림동,316-62,11620,,서울대벤처타운역 푸르지오,서울대벤처타운역 푸르지오,,,,아파트,,분양권,,2026-03-13,국토교통부 분양권/입주권 실거래
서울특별시,광진구,,광장동,583,11215,,포제스한강,포제스한강,,,,아파트,,분양권,,2026-02-25,국토교통부 분양권/입주권 실거래
서울특별시,광진구,,구의동,592-39,11215,서울특별시 광진구 구의동 592-39번지 일원,강변역 센트럴 아이파크,강변역 센트럴 아이파크,,,,아파트,,분양권,2026-11,2026-06-12,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,광진구,,자양동,870,11215,,이스트폴,이스트폴,,,,아파트,,분양권,,2025-08-04,국토교통부 분양권/입주권 실거래
서울특별시,구로구,,고척동,148-1,11530,서울특별시 구로구 고척동 148-1,고척 푸르지오 힐스테이트,고척 푸르지오 힐스테이트,,,,아파트,,분양권,2028-08,2026-07-04,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,구로구,,오류동,362,11530,,천왕역모아엘가트레뷰,천왕역모아엘가트레뷰,,,,아파트,,분양권,,2026-03-19,국토교통부 분양권/입주권 실거래
서울특별시,금천구,,시흥동,,11545,서울특별시 금천구 시흥동 220-2외 5필지,한신더휴 하이엔에듀포레,한신더휴 하이엔에듀포레,,,,아파트,,입주예정,2027-07,,청약홈 APT 분양정보
서울특별시,노원구,,공릉동,240-1,11350,서울특별시 노원구 공릉동 240-1,서울공릉 신혼희망타운(공공분양),서울공릉 신혼희망타운(공공분양),,,서울공릉지구 공공분양주택|서울공릉지구 신혼희망타운(공공분양) 추가 입주자 모집공고,아파트,,입주예정,2027-10,,청약홈 APT 분양정보
서울특별시,노원구,,공릉동,270-71,11350,서울특별시 노원구 공릉동 270-71번지,하우스토리 센트럴포레,하우스토리 센트럴포레,,,,아파트,,분양권,2027-06,2025-08-09,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,노원구,,월계동,85-7,11350,서울특별시 노원구 월계동 85-7번지 일대,서울원 아이파크,서울원 아이파크,,,,아파트,,분양권,2028-07,2026-07-10,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,도봉구,,도봉동,95,11320,,도봉 금호어울림 리버파크,도봉 금호어울림 리버파크,,,,아파트,,분양권,,2026-06-30,국토교통부 분양권/입주권 실거래
서울특별시,동대문구,,신설동,96-48,11230,,신설동역자이르네,신설동역자이르네,,,,아파트,,분양권,,2025-09-26,국토교통부 분양권/입주권 실거래
서울특별시,동대문구,,용두동,26-14,11230,,힐스테이트청량리메트로블,힐스테이트청량리메트로블,,,,아파트,,분양권,,2026-06-24,국토교통부 분양권/입주권 실거래
서울특별시,동대문구,,이문동,257-42,11230,,래미안 라그란데,래미안 라그란데,,,,아파트,,분양권,,2026-06-15,국토교통부 분양권/입주권 실거래
서울특별시,동대문구,,이문동,149-8,11230,,이문 아이파크 자이,이문아이파크자이,,,,아파트,4321,분양권,,2026-06-25,국토교통부 분양권/입주권 실거래|기존 보강
서울특별시,동대문구,,제기동,892-68,11230,서울특별시 동대문구 제기동 892-68번지 일원,제기동역 아이파크,제기동역 아이파크,,,,아파트,,분양권,2028-09,2026-06-13,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,동대문구,,청량리동,199,11230,,청량리 롯데캐슬 하이루체,청량리 롯데캐슬 하이루체,,,,아파트,,분양권,,2026-06-10,국토교통부 분양권/입주권 실거래
서울특별시,동대문구,,휘경동,172,11230,,휘경자이디센시아,휘경자이디센시아,,,,아파트,,분양권,,2026-05-11,국토교통부 분양권/입주권 실거래
서울특별시,동작구,,노량진동,154-7,11590,서울특별시 동작구 노량진동 154-7번지 일원,동작구수방사 공공분양주택,동작구수방사 공공분양주택,,,동작구수방사 공공분양주택(본청약),아파트,,입주예정,2028-12,,청약홈 APT 분양정보
서울특별시,동작구,,동작동,102,11590,,이수스위첸포레힐즈,이수스위첸포레힐즈,,,,아파트,,분양권,,2026-04-22,국토교통부 분양권/입주권 실거래
서울특별시,동작구,,사당동,155-4,11590,서울특별시 동작구 사당동 155-4번지 일원,힐스테이트 이수역센트럴,힐스테이트 이수역센트럴,,,,아파트,,입주예정,2028-04,,청약홈 APT 분양정보
서울특별시,동작구,,상도동,906,11590,,상도푸르지오클라베뉴,상도푸르지오클라베뉴,,,,아파트,,분양권,,2025-10-14,국토교통부 분양권/입주권 실거래
서울특별시,동작구,,신대방동,377-1,11590,서울특별시 동작구 신대방동 377-1번지 외 5필지,동작 보라매역 프리센트,동작 보라매역 프리센트,,,,아파트,,분양권,2026-10,2026-07-06,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,동작구,,신대방동,725,11590,,휴마레,휴마레,,,,아파트,,분양권,,2026-01-06,국토교통부 분양권/입주권 실거래
서울특별시,동작구,,흑석동,343,11590,,흑석리버파크자이,흑석리버파크자이,,,,아파트,,분양권,,2025-10-19,국토교통부 분양권/입주권 실거래
서울특별시,마포구,,공덕동,105-84,11440,서울특별시 마포구 공덕동 105-84 일원,마포자이힐스테이트 라첼스,마포자이힐스테이트 라첼스,,,,아파트,,분양권,2027-03,2026-05-27,국토교통부 분양권/입주권 실거래|청약홈 APT 분양정보
서울특별시,마포구,,노고산동,129,11440,,빌리브디에이블,빌리브디에이블,,,,아파트,,분양권,,2026-05-05,국토교통부 분양권/입주권 실거래
서울특별시,마포구,,동교동,200-2,11440,서울특별시 마포구 동교동 200-2번지 일원,홍대입구역 센트럴 아르떼 해모로,홍대입구역 센트럴 아르떼 해모로,,,,아파트,,입주예정,2026-11,,청약홈 APT 분양정보
서울특별시,마포구,,신공덕동,14,11440,,신공덕아이파크,신공덕아이파크,,,,아파트,,분양권,,2025-12-29,국토교통부 분양권/입주권 실거래
