단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
28110100005431,2811011100100040001,인천광역시,중구,,관동3가,4-1,인천광역시 중구 관동3가 4-1,건흥,건흥,,,1,아파트,1,50,1977-09-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005429,2811011800100270107,인천광역시,중구,,항동7가,27-107,인천광역시 중구 항동7가 27-107,라이프아파트,라이프비취1차,라이프아파트,라이프아파트,1,아파트,3,546,1980-01-05,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100050252,2811011800100270107,인천광역시,중구,,항동7가,27-107,인천광역시 중구 항동7가 27-107,라이프아파트,라이프비취3차,라이프아파트,라이프아파트,1,아파트,8,608,1990-06-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100050251,2811011800100270107,인천광역시,중구,,항동7가,27-107,인천광역시 중구 항동7가 27-107,라이프아파트,라이프비취2차,라이프아파트,라이프아파트,1,아파트,5,854,1981-10-07,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005430,2811011800100910002,인천광역시,중구,,항동7가,91-2,인천광역시 중구 항동7가 91-2,연안아파트,연안아파트,연안아파트,연안아파트,1,아파트,16,694,1983-07-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120009214,2811012300100280014,인천광역시,중구,,신생동,28-14,인천광역시 중구 신생동 28-14,비치팰리스,비치팰리스,,,1,아파트,1,29,2005-11-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120073492,2811012300100330009,인천광역시,중구,,신생동,33-9,인천광역시 중구 신생동 33-9,롯데아파트,롯데아파트,,,1,아파트,1,8,2007-08-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100448819,2811012300100330023,인천광역시,중구,,신생동,33-23,인천광역시 중구 신생동 33-23,동민빌라트,동민빌라트702동,동민빌라트,동민빌라트,1,아파트,1,9,2002-09-18,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005432,2811012300100380005,인천광역시,중구,,신생동,38-5,인천광역시 중구 신생동 38-5,삼성아파트,삼성,삼성아파트,삼성아파트,1,아파트,3,270,2001-06-20,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005433,2811012500100080001,인천광역시,중구,,답동,8-1,인천광역시 중구 답동 8-1,로얄답동아파트,답동로얄맨션,로얄답동아파트,로얄답동아파트,1,아파트,2,166,2002-12-03,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120347967,2811012500100120003,인천광역시,중구,,답동,12-3,인천광역시 중구 답동 12-3,월드리치빌,월드리치빌,월드리치빌,월드리치빌,1,아파트,1,16,2017-02-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120395755,2811012500100430004,인천광역시,중구,,답동,43-4,인천광역시 중구 답동 43-4,아르누보,아르누보,아르누보,아르누보,1,아파트,1,70,2019-11-29,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100448820,2811012600100340001,인천광역시,중구,,신흥동1가,34-1,인천광역시 중구 신흥동1가 34-1,경남아너스빌아파트,경남아너스빌,경남아너스빌아파트,경남아너스빌아파트,1,아파트,8,408,2005-04-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005435,2811012600100340002,인천광역시,중구,,신흥동1가,34-2,인천광역시 중구 신흥동1가 34-2,인천신흥대림아파트,대림,인천신흥대림아파트,인천신흥대림아파트,1,아파트,3,240,2002-12-07,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110100005434,2811012600100340008,인천광역시,중구,,신흥동1가,34-8,인천광역시 중구 신흥동1가 34-8,풍림아파트,풍림,풍림아파트,풍림아파트,1,아파트,2,299,1996-12-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120433586,2811012600100340029,인천광역시,중구,,신흥동1가,34-29,인천광역시 중구 신흥동1가 34-29,품에지은,품에지은,품에지은,,1,아파트,1,80,2022-04-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28110120439446,2811012600100340034,인천광역시,중구,,신흥동1가,34-34,인천광역시 중구 신흥동1가 34-34,품에지은 2차,품에지은2차,품에지은 2차,,1,아파트,1,80,2022-09-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
