공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2026000295,충청남도,,아산시,둔포면,아산테크노밸리 더원 7차 (Ab4BL),622,입주예정,2029-01,청약홈 분양정보 오픈API
2026000331,경상남도,,거제시,상동동,센트레빌 아스테리움 거제,1307,입주예정,2029-08,청약홈 분양정보 오픈API
2026000318,부산광역시,,부산남구,문현동,더샵 트리센트,156,입주예정,2029-12,청약홈 분양정보 오픈API
2026000293,강원특별자치도,,강릉시,교동,리쉐스302,302,입주예정,2029-09,청약홈 분양정보 오픈API
2026820007,경기도,,수원권선구,당수동,수원당수지구 A5블록 신혼희망타운(공공분양) 추가 입주자모집,142,입주예정,2027-06,청약홈 분양정보 오픈API
2026000355,서울특별시,노원구,,월계동,월계 중흥S-클래스 리비에르,135,입주예정,2029-05,청약홈 분양정보 오픈API
2026000327,경기도,,용인처인구,역북동,역북 서희스타힐스 프라임시티(조합원 취소분),5,입주예정,2027-03,청약홈 분양정보 오픈API
2026000291,경기도,,이천시,갈산동,이천 휴먼빌 클래스원,536,입주예정,2029-09,청약홈 분양정보 오픈API
2026000282,경상남도,,창원시,회원동,창원 한신더휴 메가센텀,1139,입주예정,2029-08,청약홈 분양정보 오픈API
2026000316,경기도,,오산시,양산동,오산헤리티지자이 2단지,714,입주예정,2029-09,청약홈 분양정보 오픈API
2026000315,경기도,,오산시,양산동,오산헤리티지자이 1단지,1069,입주예정,2029-09,청약홈 분양정보 오픈API
2026000312,강원특별자치도,,춘천시,동면,춘천 리버뷰 아이파크,262,입주예정,2029-03,청약홈 분양정보 오픈API
2026000308,부산광역시,,부산장안지구,장안읍,부산 장안지구 B-2블록 중흥S-클래스(본청약),488,입주예정,2027-06,청약홈 분양정보 오픈API
2026000301,경기도,,의왕시,삼동,의왕역 SK VIEW,820,입주예정,2029-12,청약홈 분양정보 오픈API
2026000276,충청남도,,천안서북구,업성동,업성 푸르지오 레이크시티 2단지,448,입주예정,2029-09,청약홈 분양정보 오픈API
2026000336,경기도,,평택시,평택동,평택역 더센트럴45,99,입주예정,2026-08,청약홈 분양정보 오픈API
2026000329,경기,,김포시,사우동,호반써밋 풍무Ⅲ,660,입주예정,2029-05,청약홈 분양정보 오픈API
2026000310,경기도,,남양주시,,남양주 진접 서한이다음(S1BL),361,입주예정,2029-01,청약홈 분양정보 오픈API
2026000253,경상남도,,거제시,장평동,거제 푸르지오 마린피스,423,입주예정,2029-11,청약홈 분양정보 오픈API
2026000328,울산광역시,,울산울주군,온양읍,센텀 엘카사,74,입주예정,2026-08,청약홈 분양정보 오픈API
2026000290,경기도,,화성시,비봉면,야목역 서희스타힐스 그랜드힐(조합원 취소분),83,입주예정,2029-10,청약홈 분양정보 오픈API
2026000153,서울특별시,동작구,,상도동,동작 센트럴 동문 디 이스트,72,입주예정,2030-02,청약홈 분양정보 오픈API
2026000320,경기도,,고양덕양구,도내동,고양창릉 S-4블록 공공분양주택(본청약),1024,입주예정,2030-03,청약홈 분양정보 오픈API
2026000313,경기도,,고양덕양구,도내동,고양창릉지구 S-3블록 이익공유형 분양주택(본청약),1282,입주예정,2030-02,청약홈 분양정보 오픈API
2026000307,경기도,,군포시,둔대동,군포대야미지구 A-1블록 6년 분양전환공공임대주택(본청약),377,입주예정,2029-12,청약홈 분양정보 오픈API
2026820005,경기도,,부천시,,역곡지구 하우스토리(부천역곡지구 A-2BL) 신혼희망타운(공공분양)(본청약),976,입주예정,2029-06,청약홈 분양정보 오픈API
2026000300,충청남도,,천안서북구,성성동,천안 아이파크 시티 1단지(2회차),234,입주예정,2027-12,청약홈 분양정보 오픈API
2026000271,경상남도,,김해시,내동,트리븐 김해,398,입주예정,2029-08,청약홈 분양정보 오픈API
2026000274,전북특별자치도,,군산시,,군산 세경아파트 우선분양전환 후 잔여세대,153,입주예정,2026-12,청약홈 분양정보 오픈API
2026000289,제주특별자치도,,제주시,연동,신제주 동문디이스트 시그니처원Ⅱ,196,입주예정,2027-06,청약홈 분양정보 오픈API
2026000288,제주특별자치도,,제주시,연동,신제주 동문디이스트 시그니처원Ⅰ,182,입주예정,2027-03,청약홈 분양정보 오픈API
2026000281,경기도,,이천시,안흥동,이천 서희스타힐스 SKY(조합원 취소분),8,입주예정,2029-01,청약홈 분양정보 오픈API
2026000278,경기도,,양주시,회정동,양주 회천지구 A-8BL 로제비앙 엘가,361,입주예정,2029-06,청약홈 분양정보 오픈API
2026000272,경상남도,,함안군,가야읍,함안가야 휴니온아르떼,92,입주예정,2028-10,청약홈 분양정보 오픈API
2026000275,서울특별시,성북구,,장위동,장위 푸르지오 마크원,1032,입주예정,2030-09,청약홈 분양정보 오픈API
2026000273,경상북도,,경산시,중산동,펜타힐즈 더블유 1단지,1712,입주예정,2030-11,청약홈 분양정보 오픈API
2026000270,경상남도,,김해시,신문동,김해 신문 센트럴 아이파크,1379,입주예정,2029-03,청약홈 분양정보 오픈API
2026000263,경상남도,,김해시,신문동,신문 대상 웰라움 라시엘,375,입주예정,2029-01,청약홈 분양정보 오픈API
2026000261,경상남도,,밀양시,,밀양 수자인 더퍼스트 2단지 공공분양주택,114,입주예정,2028-09,청약홈 분양정보 오픈API
2026000260,경상남도,,밀양시,,밀양 수자인 더퍼스트 1단지 공공분양주택,426,입주예정,2028-09,청약홈 분양정보 오픈API
2026000241,서울특별시,동작구,,노량진동,드파인 아르티아,171,입주예정,2029-11,청약홈 분양정보 오픈API
2026000234,부산광역시,,부산강서구,강동동,에코델타시티 중흥S-클래스 리버시티,501,입주예정,2029-05,청약홈 분양정보 오픈API
2026000248,경기도,,오산시,내삼미동,북오산자이 드포레,1517,입주예정,2029-10,청약홈 분양정보 오픈API
2026000235,서울특별시,강북구,,미아동,북서울자이 폴라리스(보류지),6,입주예정,2026-07,청약홈 분양정보 오픈API
2026000224,경상남도,,양산시,물금읍,힐스테이트 양산더스카이 2단지,299,입주예정,2029-04,청약홈 분양정보 오픈API
2026000223,경상남도,,양산시,물금읍,힐스테이트 양산더스카이 1단지,299,입주예정,2029-04,청약홈 분양정보 오픈API
2026000195,인천광역시,,인천서구,마전동,더샵 검단레이크파크(AB23BL),1403,입주예정,2029-12,청약홈 분양정보 오픈API
2026000194,인천광역시,,인천서구,불로동,더샵 검단레이크파크(AB22BL),1454,입주예정,2029-12,청약홈 분양정보 오픈API
2026000258,경기도,,평택시,,고덕국제신도시 수자인하우스디,403,입주예정,2029-02,청약홈 분양정보 오픈API
2026000259,광주광역시,,광주서구,마륵동,상무 양우내안에 퍼스트힐(조합원 취소분),72,입주예정,2026-09,청약홈 분양정보 오픈API
2026000243,전남,,장성군,,호반써밋 첨단3지구(A8BL),449,입주예정,2028-10,청약홈 분양정보 오픈API
2026000242,광주,,북구,,호반써밋 첨단3지구(A7BL),356,입주예정,2028-09,청약홈 분양정보 오픈API
2026000237,경기도,,평택시,,평택 고덕 우미 린 프레스티지(Abc-36BL),743,입주예정,2028-12,청약홈 분양정보 오픈API
2026000226,충청남도,,천안서북구,백석동,백석시그니처자이 2단지,320,입주예정,2029-09,청약홈 분양정보 오픈API
2026000225,충청남도,,천안서북구,백석동,백석시그니처자이 1단지,854,입주예정,2029-09,청약홈 분양정보 오픈API
2026000148,부산광역시,,부산수영구,민락동,알티에로 광안,366,입주예정,2029-07,청약홈 분양정보 오픈API
2026820004,경기도,,성남시,,e편한세상 분당 퍼스트빌리지(성남낙생지구 A-1BL) 신혼희망타운(공공분양)(본청약),933,입주예정,2029-02,청약홈 분양정보 오픈API
2026000230,경기도,,화성시,,화성동탄2지구 C-27블록 공공분양주택,473,입주예정,2029-06,청약홈 분양정보 오픈API
2026000184,전북특별자치도,,익산시,팔봉동,익산 펠리피아,572,입주예정,2028-12,청약홈 분양정보 오픈API
2026000097,강원특별자치도,,강릉시,홍제동,강릉 성보필리오 더센트럴힐즈,148,입주예정,2028-07,청약홈 분양정보 오픈API
2026000219,경기,,김포시,사우동,호반써밋 풍무Ⅱ,961,입주예정,2030-01,청약홈 분양정보 오픈API
2026000205,경기도,,수원권선구,평동,수원역 아너스빌 타임원,114,입주예정,2028-11,청약홈 분양정보 오픈API
2026000173,강원특별자치도,,춘천시,,더 리치먼드 리버센트 소양,178,입주예정,2029-06,청약홈 분양정보 오픈API
2026000122,경기도,,부천오정구,오정동,오정 해모로 스마트시티(조합원 취소분),48,입주예정,2027-07,청약홈 분양정보 오픈API
2026000217,부산광역시,,부산동래구,명륜동,동래사적공원 오네뜨,110,입주예정,2028-10,청약홈 분양정보 오픈API
2026000162,인천광역시,,인천서구,경서동,검암역자이르네,601,입주예정,2028-12,청약홈 분양정보 오픈API
2026000138,경기도,,시흥시,대야동,힐스테이트 시흥더클래스,430,입주예정,2029-03,청약홈 분양정보 오픈API
2026000120,서울특별시,동작구,,흑석동,써밋 더힐,432,입주예정,2030-06,청약홈 분양정보 오픈API
2026000188,부산광역시,,부산해운대구,중동,해운대 마티안 디 에디션,99,입주예정,2028-11,청약홈 분양정보 오픈API
2026000187,경기도,,부천소사구,괴안동,엘리프 역곡,44,입주예정,2027-08,청약홈 분양정보 오픈API
2026000116,서울특별시,동작구,,대방동,아크로 리버스카이,285,입주예정,2029-08,청약홈 분양정보 오픈API
2025000422,경기도,,남양주시,오남읍,오남역 서희스타힐스 여의재 3단지,117,입주예정,2029-01,청약홈 분양정보 오픈API
