단지고유번호,필지고유번호,시도,자치구,법정동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
11680120430770,1168010300106510001,서울특별시,강남구,개포동,651-1,서울특별시 강남구 개포동 651-1,개포 더샵 트리에,개포더샵트리에,개포 더샵 트리에,개포 더샵 트리에,1,아파트,2,232,2021-12-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680120414794,1168010300112820000,서울특별시,강남구,개포동,1282,서울특별시 강남구 개포동 1282,개포 래미안 포레스트,개포래미안포레스트,개포 래미안 포레스트,개포 래미안 포레스트,1,아파트,31,2296,2020-09-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001460,1168010300106550001,서울특별시,강남구,개포동,655-1,서울특별시 강남구 개포동 655-1,개포 현대아파트 200동,개포현대200동,개포 현대아파트 200동,개포 현대아파트 200동,1,아파트,1,72,1986-07-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100050339,1168010300106550002,서울특별시,강남구,개포동,655-2,서울특별시 강남구 개포동 655-2,개포2차현대아파트,전화국현대(220),개포2차현대아파트,개포2차현대아파트,1,아파트,1,54,1988-09-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001448,1168010300106580001,서울특별시,강남구,개포동,658-1,서울특별시 강남구 개포동 658-1,개포6차우성아파트1동,개포6차우성아파트1동~8동,개포6차우성아파트,개포6차우성아파트1동,1,아파트,8,270,1987-11-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001449,1168010300101790000,서울특별시,강남구,개포동,179,서울특별시 강남구 개포동 179,개포8차 우성아파트801동,우성8,개포8차 우성아파트,개포8차 우성아파트801동,1,아파트,3,261,1987-09-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100053194,1168010300101760001,서울특별시,강남구,개포동,176-1,서울특별시 강남구 개포동 176-1,개포동상지리츠빌,상지리츠빌,개포동상지리츠빌,개포동상지리츠빌,1,아파트,1,18,2003-03-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100249405,1168010300100120002,서울특별시,강남구,개포동,12-2,서울특별시 강남구 개포동 12-2,개포자이,개포자이,개포자이,개포자이,1,아파트,4,212,2004-06-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680120440857,1168010300112830000,서울특별시,강남구,개포동,1283,서울특별시 강남구 개포동 1283,개포자이르네,개포자이르네,개포자이르네,개포자이르네,1,아파트,1,28,2022-10-05,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100050421,1168010300101870000,서울특별시,강남구,개포동,187,서울특별시 강남구 개포동 187,개포주공아파트504동,개포주공5단지,개포주공아파트,개포주공아파트504동,1,아파트,6,940,1983-10-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001455,1168010300101850000,서울특별시,강남구,개포동,185,서울특별시 강남구 개포동 185,개포주공아파트607동,개포주공6단지,개포주공아파트,개포주공아파트607동,1,아파트,9,1060,1983-10-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100256608,1168010300101850000,서울특별시,강남구,개포동,185,서울특별시 강남구 개포동 185,개포주공아파트701동,개포주공7단지,개포주공아파트,개포주공아파트701동,1,아파트,8,900,1983-10-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001463,1168010300112420002,서울특별시,강남구,개포동,1242-2,서울특별시 강남구 개포동 1242-2,개포현대6차아파트601동,개포현대6차,개포현대6차아파트601동,개포현대6차아파트601동,1,아파트,1,19,1993-12-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001456,1168010300101720003,서울특별시,강남구,개포동,172-3,서울특별시 강남구 개포동 172-3,개포현대아파트,현대,개포현대아파트,개포현대아파트,1,아파트,1,18,1994-02-22,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001441,1168010300106490000,서울특별시,강남구,개포동,649,서울특별시 강남구 개포동 649,경남아파트2동,경남1,경남아파트,경남아파트2동,1,아파트,6,408,1984-03-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11680100001442,1168010300106490000,서울특별시,강남구,개포동,649,서울특별시 강남구 개포동 649,경남아파트8동,경남2차,경남아파트,경남아파트8동,1,아파트,3,270,1984-11-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
